idCar;Car;Cylinders;Displacement;Horsepower;Weight;Acceleration;Model;Origin;MPG
353;Subaru;4;97.00;67.00;2065.;17.8;81;Japan;32.3
354;Datsun 210 MPG;4;85.00;65.00;1975.;19.4;81;Japan;37.0
355;Toyota Tercel;4;89.00;62.00;2050.;17.3;81;Japan;37.7
356;Mazda GLC 4;4;91.00;68.00;1985.;16.0;81;Japan;34.1
357;Plymouth Horizon 4;4;105.0;63.00;2215.;14.9;81;US;34.7
358;Ford Escort 4W;4;98.00;65.00;2045.;16.2;81;US;34.4
359;Ford Escort 2H;4;98.00;65.00;2380.;20.7;81;US;29.9
360;Volkswagen Jetta;4;105.0;74.00;2190.;14.2;81;Europe;33.0
361;Renault 18i;4;100.0;0;2320.;15.8;81;Europe;34.5
362;Honda Prelude;4;107.0;75.00;2210.;14.4;81;Japan;33.7
363;Toyota Corolla;4;108.0;75.00;2350.;16.8;81;Japan;32.4
364;Datsun 200SX;4;119.0;100.0;2615.;14.8;81;Japan;32.9
365;Mazda 626;4;120.0;74.00;2635.;18.3;81;Japan;31.6
366;Peugeot 505s Turbo Diesel;4;141.0;80.00;3230.;20.4;81;Europe;28.1
367;Saab 900s;4;121.0;110.0;2800.;15.4;81;Europe;0
368;Volvo Diesel;6;145.0;76.00;3160.;19.6;81;Europe;30.7
369;Toyota Cressida;6;168.0;116.0;2900.;12.6;81;Japan;25.4
370;Datsun 810 Maxima;6;146.0;120.0;2930.;13.8;81;Japan;24.2
371;Buick Century;6;231.0;110.0;3415.;15.8;81;US;22.4
372;Oldsmobile Cutlass LS;8;350.0;105.0;3725.;19.0;81;US;26.6
373;Ford Grenada gl;6;200.0;88.00;3060.;17.1;81;US;20.2
374;Chrysler Lebaron Salon;6;225.0;85.00;3465.;16.6;81;US;17.6
375;Chevrolet Cavalier;4;112.0;88.00;2605.;19.6;82;US;28.0
376;Chevrolet Cavalier Wagon;4;112.0;88.00;2640.;18.6;82;US;27.0
377;Chevrolet Cavalier 2-door;4;112.0;88.00;2395.;18.0;82;US;34.0
378;Pontiac J2000 SE Hatchback;4;112.0;85.00;2575.;16.2;82;US;31.0
379;Dodge Aries SE;4;135.0;84.00;2525.;16.0;82;US;29.0
380;Pontiac Phoenix;4;151.0;90.00;2735.;18.0;82;US;27.0
381;Ford Fairmont Futura;4;140.0;92.00;2865.;16.4;82;US;24.0
382;AMC Concord DL;4;151.0;0;3035.;20.5;82;US;23.0
383;Volkswagen Rabbit l;4;105.0;74.00;1980.;15.3;82;Europe;36.0
384;Mazda GLC Custom l;4;91.00;68.00;2025.;18.2;82;Japan;37.0
385;Mazda GLC Custom;4;91.00;68.00;1970.;17.6;82;Japan;31.0
386;Plymouth Horizon Miser;4;105.0;63.00;2125.;14.7;82;US;38.0
387;Mercury Lynx l;4;98.00;70.00;2125.;17.3;82;US;36.0
388;Nissan Stanza XE;4;120.0;88.00;2160.;14.5;82;Japan;36.0
389;Honda Accord;4;107.0;75.00;2205.;14.5;82;Japan;36.0
390;Toyota Corolla;4;108.0;70.00;2245;16.9;82;Japan;34.0
391;Honda Civic;4;91.00;67.00;1965.;15.0;82;Japan;38.0
392;Honda Civic (auto);4;91.00;67.00;1965.;15.7;82;Japan;32.0
393;Datsun 310 GX;4;91.00;67.00;1995.;16.2;82;Japan;38.0
394;Buick Century Limited;6;181.0;110.0;2945.;16.4;82;US;25.0
395;Oldsmobile Cutlass Ciera (diesel);6;262.0;85.00;3015.;17.0;82;US;38.0
396;Chrysler Lebaron Medallion;4;156.0;92.00;2585.;14.5;82;US;26.0
397;Ford Grenada l;6;232.0;112.0;2835;14.7;82;US;22.0
398;Toyota Celica GT;4;144.0;96.00;2665.;13.9;82;Japan;32.0
399;Dodge Charger 2.2;4;135.0;84.00;2370.;13.0;82;US;36.0
400;Chevrolet Camaro;4;151.0;90.00;2950.;17.3;82;US;27.0
401;Ford Mustang GL;4;140.0;86.00;2790.;15.6;82;US;27.0
402;Volkswagen Pickup;4;97.00;52.00;2130.;24.6;82;Europe;44.0
403;Dodge Rampage;4;135.0;84.00;2295.;11.6;82;US;32.0
404;Ford Ranger;4;120.0;79.00;2625.;18.6;82;US;28.0
405;Chevy S-10;4;119.0;82.00;2720.;19.4;82;US;31.0
